Ticker,PE Ratio_highlight,Forward P/E_highlight,P/S Ratio_highlight,P/B Ratio_highlight,Dividend Yield (%)_highlight,Current Ratio_highlight,Debt/Equity_highlight,Revenue Growth 4Y (%)_highlight,EPS Growth 4Y (%)_highlight,Forward EPS Growth (%)_highlight,EPS_highlight,PEG Ratio_highlight,ROE (%)_highlight,ROA (%)_highlight,ROIC (%)_highlight,Profit Margin (%)_highlight,Gross Margin (%)_highlight,FCF Yield (%)_highlight,FCF/EV_highlight,EV/EBITDA_highlight
HWX.TO,within,below,above,above,within,within,below,above,above,above,within,below,above,above,above,above,above,within,above,below
SVI.TO,within,within,within,above,below,below,above,above,above,within,below,within,below,below,below,below,within,within,within,within
AAV.TO,above,below,above,below,within,below,within,within,within,within,below,above,below,below,below,within,within,below,below,within
AND.TO,within,within,above,within,below,within,below,above,within,above,within,within,above,above,above,above,within,above,above,within
PMZ-UN.TO,below,within,within,below,within,below,below,above,within,above,above,within,above,above,above,above,within,within,within,within
SKE.TO,within,within,within,above,within,within,below,within,below,within,below,within,below,below,below,within,within,within,within,within
TCL-A.TO,within,below,below,below,above,within,below,below,below,above,above,above,within,within,within,above,below,above,above,below
BIR.TO,above,within,within,below,above,within,below,below,within,above,below,above,below,below,below,below,within,above,above,within
WTE.TO,below,within,above,within,above,below,within,below,below,above,within,within,above,above,above,above,above,above,above,within
TCL-B.TO,within,within,below,below,above,within,below,below,below,above,above,within,within,within,within,above,below,above,above,below
JWEL.TO,above,within,above,within,within,above,within,above,below,above,within,below,within,within,within,within,within,below,below,above
SIA.TO,above,above,below,within,above,below,above,below,within,above,above,within,above,above,above,above,below,above,above,above
SVM.TO,within,within,above,within,below,above,below,below,below,above,above,below,above,above,above,above,above,above,above,within
BDGI.TO,within,within,within,above,within,within,above,within,above,above,within,within,above,above,above,within,within,below,below,within
ASTL.TO,within,within,below,below,within,above,above,above,within,within,below,within,above,above,above,below,below,below,below,above
TIXT.TO,within,below,below,below,within,below,above,within,below,within,above,within,above,above,above,above,below,above,above,below
GOOS.TO,above,within,within,above,within,above,above,within,below,within,below,below,above,above,above,above,above,above,above,within
ARE.TO,within,within,below,below,above,within,below,below,within,within,below,within,below,below,below,below,below,above,above,within
MRC.TO,below,below,below,below,below,below,within,below,within,below,above,within,within,within,above,above,within,above,above,within
MTL.TO,below,within,below,below,above,within,above,above,above,below,within,within,above,within,within,within,within,above,above,below
